Animal_ID,Species,Average_Lifespan (Years),Weight (kg),Height (cm),Diet_Type,Habitat,Conservation_Status,Domesticated,Primary_Region,Nocturnal,Speed (km/h),Intelligence_Level,Endangered_Level (1-5),cluster
ANM_1,Giraffe,59,865.12,232.66,Carnivore,Urban,Critically Endangered,Yes,Australia,Yes,25.03,High,3,3
ANM_2,Giraffe,67,452.46,359.8,Herbivore,Desert,Vulnerable,Yes,Europe,No,27.97,Medium,5,1
ANM_3,Panda,54,17.65,393.57,Omnivore,Ocean,Critically Endangered,No,Antarctica,Yes,77.03,Low,3,3
ANM_4,Deer,32,2990.88,348.27,Herbivore,Forest,Critically Endangered,No,Antarctica,Yes,52.95,Medium,4,0
ANM_5,Elephant,71,1398.41,238.9,Carnivore,Desert,Vulnerable,Yes,South America,Yes,52.19,Low,2,3
ANM_6,Lion,79,417.37,114.6,Carnivore,Urban,Extinct,Yes,North America,No,19.72,Medium,5,1
ANM_7,Cat,33,2829.19,306.21,Herbivore,Grassland,Least Concern,No,Europe,Yes,64.47,High,2,3
ANM_8,Horse,79,300.43,154.0,Herbivore,Grassland,Critically Endangered,Yes,Australia,No,71.36,Medium,3,1
ANM_9,Panda,40,2555.19,368.77,Omnivore,Grassland,Critically Endangered,No,Australia,No,9.79,Low,3,3
ANM_10,Panda,37,336.63,151.99,Omnivore,Urban,Critically Endangered,Yes,Australia,No,43.87,High,4,1
ANM_11,Giraffe,11,4274.29,280.06,Omnivore,Urban,Extinct,No,Australia,No,40.48,High,3,2
ANM_12,Dog,75,280.21,60.18,Carnivore,Forest,Endangered,Yes,Antarctica,Yes,85.32,Medium,4,1
ANM_13,Lion,45,3402.38,178.4,Carnivore,Forest,Critically Endangered,Yes,South America,No,30.66,Medium,3,0
ANM_14,Horse,24,385.63,151.22,Herbivore,Forest,Extinct,Yes,Africa,No,51.04,Medium,5,1
ANM_15,Dog,52,2583.33,24.25,Herbivore,Urban,Endangered,Yes,Antarctica,No,85.73,Low,4,1
ANM_16,Horse,37,409.03,31.69,Herbivore,Forest,Critically Endangered,No,North America,No,15.03,Low,2,2
ANM_17,Tiger,60,4512.69,394.91,Herbivore,Grassland,Vulnerable,No,Europe,Yes,78.65,Medium,4,0
ANM_18,Dog,7,1581.24,291.55,Herbivore,Grassland,Extinct,Yes,North America,Yes,82.52,Medium,3,3
ANM_19,Horse,76,1739.92,341.49,Omnivore,Wetland,Least Concern,No,Antarctica,No,38.62,Medium,5,1
ANM_20,Tiger,40,417.45,204.99,Omnivore,Forest,Extinct,No,South America,No,71.08,Low,3,1
ANM_21,Panda,10,3855.88,171.58,Herbivore,Urban,Least Concern,No,South America,No,25.61,Low,1,2
ANM_22,Giraffe,52,399.34,264.8,Omnivore,Grassland,Vulnerable,No,Africa,Yes,19.37,Medium,5,1
ANM_23,Lion,59,3834.11,219.45,Herbivore,Forest,Least Concern,No,Africa,No,11.26,Low,3,0
ANM_24,Giraffe,34,1792.83,121.37,Herbivore,Urban,Least Concern,No,Antarctica,No,43.37,High,1,2
ANM_25,Elephant,30,3791.64,206.78,Carnivore,Wetland,Critically Endangered,Yes,Africa,No,18.73,Low,2,2
ANM_26,Elephant,38,1786.91,396.66,Carnivore,Forest,Vulnerable,No,Antarctica,Yes,67.5,Low,2,3
ANM_27,Tiger,50,759.11,46.16,Omnivore,Urban,Critically Endangered,Yes,Antarctica,No,18.94,Medium,4,1
ANM_28,Horse,67,3112.38,263.27,Herbivore,Grassland,Endangered,Yes,Africa,Yes,97.05,Medium,1,0
ANM_29,Panda,17,889.46,271.94,Herbivore,Desert,Critically Endangered,Yes,South America,Yes,33.36,High,5,1
ANM_30,Dog,66,4939.14,46.36,Omnivore,Urban,Least Concern,No,Asia,Yes,23.79,Medium,5,0
ANM_31,Cat,56,1724.03,358.28,Omnivore,Ocean,Endangered,No,North America,Yes,96.73,High,1,3
ANM_32,Elephant,72,3974.51,123.54,Omnivore,Desert,Endangered,Yes,North America,No,42.6,High,3,0
ANM_33,Cat,16,2905.2,235.96,Carnivore,Wetland,Critically Endangered,No,Africa,No,17.57,Low,5,2
